domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
dea.usajobs.gov,4571,40375,4571,8.832859331,161.4902647,3809
oaspub.epa.gov,4571,31995,6856,6.999562459,118.3261868,9141
eweb.sba.gov,4571,26663,5333,5.833078101,83.82826515,5333
www-red-dev.cancer.gov,4571,25139,762,5.499671844,280.9831547,4571
joltsdata.bls.gov,4571,25139,3809,5.499671844,74.66221833,4571
bigspring.va.gov,4571,22092,3047,4.833078101,187.1555458,5333
ctip.defense.gov,4571,22092,3809,4.833078101,163.3235616,4571
fort.usgs.gov,4571,22092,4571,4.833078101,147.8245461,4571
history.msfc.nasa.gov,4571,20568,5333,4.499671844,273.4837016,4571
dcoe.mil,4571,20568,3809,4.499671844,64.66287464,5333
usace.usajobs.gov,4571,19806,2285,4.332968716,324.9805294,5333
irs.usajobs.gov,4571,18283,4571,3.999781229,39.49770291,5333
albany.va.gov,4571,17521,4571,3.833078101,393.1430759,3809
listserv.opm.gov,4571,17521,3047,3.833078101,83.32837454,4571
search.vaccines.gov,4571,17521,3047,3.833078101,14.16582805,2285
glam1n1.gsfc.nasa.gov,4571,16759,762,3.666374973,228.8197331,4571
oig.dol.gov,4571,15998,6856,3.499890615,206.1542332,6094
appel.nasa.gov,4571,15236,3809,3.333187486,442.8068256,5333
armedforcessports.defense.gov,4571,15236,4571,3.333187486,158.3237804,4571
ssaiphiladelphia.usajobs.gov,4571,15236,4571,3.333187486,44.83067163,6094
poolsafely.gov,4571,14474,3809,3.166484358,146.1579523,4571
chemdata.nist.gov,4571,13712,3809,2.999781229,454.1395756,5333
coralreef.noaa.gov,4571,12950,5333,2.833078101,194.3218114,4571
dotgov.gov,4571,12950,3809,2.833078101,174.4896084,4571
lib.noaa.gov,4571,12950,3809,2.833078101,77.99540582,4571
fedview.opm.gov,4571,12189,3809,2.666593743,85.32815576,3809
tomah.va.gov,4571,11427,4571,2.499890615,397.976154,4571
alaska.usgs.gov,4571,11427,3809,2.499890615,220.9868738,3809
registration.pps.eosdis.nasa.gov,4571,11427,2285,2.499890615,105.3270619,5333
ntis.gov,4571,10665,4571,2.333187486,288.816014,4571
columbiamo.va.gov,4571,10665,4571,2.333187486,123.1592649,4571
centralalabama.va.gov,4571,10665,3809,2.333187486,72.99562459,6094
llis.nasa.gov,4571,10665,5333,2.333187486,41.33078101,6094
lambda.gsfc.nasa.gov,4571,9903,3809,2.166484358,163.1568585,4571
search.kansas.gov,4571,9903,4571,2.166484358,79.16189018,4571
cmls.gsa.gov,4571,9903,3047,2.166484358,16.66571866,4571
jointmission.gsfc.nasa.gov,4571,9141,3809,1.999781229,75.99540582,4571
cisa.ndu.edu,4571,9141,3809,1.999781229,29.83154671,4571
caribbean.va.gov,4571,8380,5333,1.833296872,412.9752789,5333
veterantraining.va.gov,4571,8380,5333,1.833296872,175.1562021,3047
gdex.cr.usgs.gov,4571,8380,4571,1.833296872,146.6578429,4571
usamriid.army.mil,4571,8380,3809,1.833296872,76.4955152,4571
marion.va.gov,4571,8380,4571,1.833296872,29.33165609,4571
pro-net.sba.gov,4571,8380,4571,1.833296872,28.66484358,4571
registration.jpl.nasa.gov,4571,7618,3809,1.666593743,550.1336688,2285
ghana.usembassy.gov,4571,7618,4571,1.666593743,92.49442135,4571
aquarium.nefsc.noaa.gov,4571,7618,3809,1.666593743,59.32968716,4571
madrid.usembassy.gov,4571,7618,2285,1.666593743,50.66353096,3809
asheville.va.gov,4571,7618,4571,1.666593743,18.3323124,5333
shreveport.va.gov,4571,6856,4571,1.499890615,251.151608,4571
search.census.gov,4571,6856,3809,1.499890615,229.1529206,3809
jnlwp.defense.gov,4571,6856,4571,1.499890615,118.6595931,4571
addiction.surgeongeneral.gov,4571,6856,4571,1.499890615,84.66156202,5333
software.nasa.gov,4571,6856,3809,1.499890615,57.32990593,4571
bulkdata.uspto.gov,4571,6856,2285,1.499890615,55.3301247,4571
kidsenvirohealth.nlm.nih.gov,4571,6856,3809,1.499890615,17.66571866,4571
frtr.gov,4571,6856,3809,1.499890615,10.16604682,4571
eagnmncom117a.usps.com,4571,6856,2285,1.499890615,7.832859331,3809
eagnmncom117f.usps.com,4571,6856,2285,1.499890615,7.166265587,4571
eagnmncom1179.usps.com,4571,6856,2285,1.499890615,2.333187486,4571
preview.portal.irs.gov,4571,6094,762,1.333187486,280.6499672,3809
iri.gsfc.nasa.gov,4571,6094,2285,1.333187486,202.9879676,3809
regions.noaa.gov,4571,6094,3047,1.333187486,110.4933275,3809
archive.msha.dir.labor.gov,4571,6094,3047,1.333187486,69.16254649,4571
store.usgs.gov,4571,6094,3809,1.333187486,31.16473419,4571
ncc.usajobs.gov,4571,6094,2285,1.333187486,14.66571866,4571
login.uat.usajobs.gov,4571,6094,1524,1.333187486,3.999781229,4571
search.foia.gov,4571,5333,3809,1.166703128,155.6574054,2285
cbrfc.noaa.gov,4571,5333,2285,1.166703128,19.33209363,4571
ssd-api.jpl.nasa.gov,4571,5333,3809,1.166703128,12.66593743,4571
roseburg.va.gov,4571,5333,4571,1.166703128,5.166265587,4571
savingsbond.gov,4571,5333,4571,1.166703128,4.166484358,4571
spdf.gsfc.nasa.gov,4571,5333,1524,1.166703128,3.166484358,3809
cascom.army.mil,4571,5333,4571,1.166703128,0,4571
bts.dot.gov,4571,4571,4571,1,23.16539051,3047
navsea.usajobs.gov,4571,4571,3047,1,10.33274995,4571
it.ojp.gov,4571,4571,4571,1,0.333406257,4571
eagnmncom06a7.usps.com,4571,4571,4571,1,0,4571
eagnmncom115a.usps.com,4571,4571,4571,1,0,4571
eagnmncom120d.usps.com,4571,4571,4571,1,0,4571
eagnmncom122d.usps.com,4571,4571,4571,1,0,4571
eagnmncom1a17.usps.com,4571,4571,4571,1,0,4571
eagnmncom1c29.usps.com,4571,4571,4571,1,0,4571
eagnmnmepd50.usps.gov,4571,4571,4571,1,0,4571
preview-forecast.weather.gov,4571,4571,2285,1,0,4571
taaps.gov,4571,4571,4571,1,0,4571
search.defense.gov,3809,59419,23615,15.59963245,21.39957994,15998
oceandata.sci.gsfc.nasa.gov,3809,54849,1524,14.39984248,630.5899186,3809
data.nasa.gov,3809,45707,3809,11.99973746,87.19847729,3047
effectiveinterventions.cdc.gov,3809,33519,3047,8.799947493,262.1958519,3809
informal.jpl.nasa.gov,3809,32757,3047,8.599894986,430.7931216,3809
filermanagement.edgarfiling.sec.gov,3809,29710,4571,7.799947493,157.7975847,3047
phytochem.nal.usda.gov,3809,19045,3809,5,473.3924915,3809
fsrs.gov,3809,18283,3809,4.799947493,136.9978997,3809
navfac.usajobs.gov,3809,13712,3809,3.599894986,143.9976372,3809
dublin.va.gov,3809,12950,6856,3.399842478,346.1945392,6094
federallabs.org,3809,12950,2285,3.399842478,186.9971121,3809
tahoe.usgs.gov,3809,12189,3047,3.200052507,121.3980047,3809
ir.usembassy.gov,3809,11427,3047,3,149.7975847,3809
nwc.ndu.edu,3809,11427,3047,3,71.59884484,3809
sigtarp.gov,3809,10665,3809,2.799947493,340.9944867,3809
ncsesdata.nsf.gov,3809,10665,3047,2.799947493,147.1976897,3809
military.consumer.gov,3809,10665,3809,2.799947493,143.7975847,3809
rehab.va.gov,3809,10665,4571,2.799947493,86.79863481,5333
jfsc.ndu.edu,3809,10665,3047,2.799947493,63.99894986,3809
fmvrs.fas.gsa.gov,3809,10665,762,2.799947493,59.99894986,3809
tess.gsfc.nasa.gov,3809,10665,4571,2.799947493,0,4571
gmao.gsfc.nasa.gov,3809,9903,3047,2.599894986,287.7954844,3047
hudsonvalley.va.gov,3809,9903,3047,2.599894986,179.1971646,3809
dodhrinfo.cpms.osd.mil,3809,9903,2285,2.599894986,165.9973746,3809
honeybeenet.gsfc.nasa.gov,3809,9903,3047,2.599894986,106.1982148,3809
cloud.gov,3809,9903,3047,2.599894986,50.39931741,3809
gulfspillrestoration.noaa.gov,3809,9141,3047,2.399842478,397.7936466,3809
fsc.va.gov,3809,9141,3047,2.399842478,71.79889735,3047
cfo.gov,3809,9141,3809,2.399842478,37.79942242,3809
